iter	Logloss
0	0.611418597
1	0.5440588357
2	0.4951212546
3	0.4562107202
4	0.4270024304
5	0.4059336106
6	0.3898452773
7	0.3777458655
8	0.3681571509
9	0.3601953142
10	0.3534208338
11	0.3482896431
12	0.3443378798
13	0.3407747231
14	0.3376126331
15	0.3350449703
16	0.3335516353
17	0.3316860038
18	0.3304491102
19	0.3295516575
20	0.3286239008
21	0.3275289054
22	0.3266129303
23	0.3260249247
24	0.325435039
25	0.3249062861
26	0.3245502094
27	0.3240358657
28	0.3236411603
29	0.3233273085
30	0.3230497166
31	0.3227803461
32	0.3224789537
33	0.322252039
34	0.3219661738
35	0.3217766246
36	0.321613434
37	0.3214021892
38	0.3212818921
39	0.3211413084
40	0.3210028047
41	0.3208431809
42	0.3207332222
43	0.3206135635
44	0.3205113467
45	0.3203942497
46	0.3202461859
47	0.3201344481
48	0.3200246816
49	0.3199366937
50	0.3198441172
51	0.319727898
52	0.3196286888
53	0.3195021387
54	0.3194136774
55	0.3193134895
56	0.319244898
57	0.3191558339
58	0.3190847448
59	0.3189691848
60	0.3188709844
61	0.3187806766
62	0.3187192695
63	0.3186517406
64	0.3185977922
65	0.3185252386
66	0.3184418061
67	0.3183740889
68	0.3183123364
69	0.3182414849
70	0.3181641325
71	0.3180975382
72	0.3180380556
73	0.3179708284
74	0.3178983634
75	0.317843017
76	0.3177926478
77	0.3177148496
78	0.3176479293
79	0.3175666432
80	0.3175125459
81	0.3174906993
82	0.3174565274
83	0.3173931665
84	0.3173342591
85	0.3172727475
86	0.3172147844
87	0.3171584599
88	0.317112695
89	0.3170551257
90	0.3170099191
91	0.3169652211
92	0.3168907315
93	0.316806516
94	0.3167523953
95	0.3166989727
96	0.3166588223
97	0.3166287758
98	0.31655895
99	0.3165029942
