iter	Passed	Remaining
0	67	6681
1	76	3770
2	84	2747
3	93	2236
4	100	1917
5	108	1704
6	115	1540
7	123	1418
8	130	1321
9	138	1247
10	146	1182
11	153	1124
12	161	1080
13	169	1041
14	177	1007
15	185	972
16	192	941
17	200	912
18	206	881
19	214	857
20	221	834
21	228	810
22	236	790
23	242	769
24	249	749
25	256	729
26	263	713
27	271	697
28	278	681
29	285	666
30	292	651
31	300	638
32	307	624
33	314	610
34	321	597
35	329	585
36	337	574
37	344	562
38	351	549
39	358	538
40	366	527
41	373	516
42	381	505
43	389	495
44	396	484
45	403	473
46	411	464
47	418	452
48	426	443
49	434	434
50	441	424
51	448	413
52	456	404
53	464	395
54	472	386
55	480	377
56	487	367
57	496	359
58	503	350
59	511	341
60	519	332
61	526	322
62	533	313
63	541	304
64	549	295
65	557	287
66	565	278
67	573	269
68	580	260
69	588	252
70	595	243
71	602	234
72	610	225
73	617	217
74	625	208
75	633	200
76	641	191
77	649	183
78	657	174
79	665	166
80	672	157
81	679	149
82	687	140
83	695	132
84	703	124
85	711	115
86	719	107
87	726	99
88	733	90
89	740	82
90	747	73
91	755	65
92	762	57
93	770	49
94	778	40
95	786	32
96	794	24
97	801	16
98	808	8
99	816	0
